Text,Intent
I need to know when an item was last used.,DATE
How can I find out when an ITEM was last used?,DATE
I'm curious about an item's most recent usage date.,DATE
I need to know when an item's received quantity was.,DATE
"What is the item's pricing, please?",COST
"How much is this item, please?",COST
What is the cost of an ITEM?,COST
I'd like to know the order received date for single ITEM or multiple items.,ORDER
I'd want to know the delivery date for an ITEM or multiple items on the order.,ORDER
When were orders received for a certain item or a number of items?,ORDER
When will an item or a number of items in the order be delivered?,ORDER
"For one item or a number of items, what is the date that orders were received?",ORDER
"If there are multiple items in the order, when will they be delivered?",ORDER
What is the vendor's current available quantity for this item?,QUANTITY
I'm interested in learning the vendor's current stock availability for this item.,QUANTITY
"How many units of this item are offered by the merchant/vendor, please?",QUANTITY
how many of this ITEM are available from the vendor.,QUANTITY
how many units of this ITEM are available from the vendor.,QUANTITY
how many units of this ITEM are available from the specific vendor/merchant?,QUANTITY
"How many units of this item are offered by the specific merchant, please?",QUANTITY
I'm interested in finding out how many of this item are offered by the specific vendor.,QUANTITY
I'm curious about the price of the items that have been held for a while.,COST
"For each Order, how many ITEMs are sold?",ORDER
"I'd like to know. For each ITEM, how many Orders are sold?",ORDER
How many Orders for an ITEM are sold?,ORDER
The price of the items that have been held for a while is what I want to know.,COST
I'm curious about the price of the items that have been on hold for a while.,COST
"How much items is kept in storage at a certain place, please?",LOCATION
I want to know how many item is kept in a specific location.,LOCATION
"How much quantity is kept in storage at a certain location, please?",LOCATION
how much quantity is stored at a specific spot.,LOCATION
how much quantity is held at a specific area.,LOCATION
I'd like to know the maximum and minimum stored quantities for an item at a specific place/area.,QUANTITY
I need to know the maximum and minimum storage quantities for a specific item.,QUANTITY
What is the maximum and minimum amount that can be stored of a single item in a specific location?,QUANTITY
I'm interested in learning the maximum and minimum storage quantities for a specific item.,QUANTITY
How many POs were created for a certain item or a number of items,PO
How many POs were created for a single item or several items?,PO
How many POs were generated for a single or multiple items?,PO
"When was the last PO created for an item or a group of items, please?",PO
"How many units of a certain item, or how many different goods, did the vendor/seller sell?",QUANTITY
I'm curious about the SO date for a specific PO.,SO
I'm curious who the seller is for a specific SO.,SO
"How many ITEMS were a part of a specific SO, please?",SO
"How many ITEMS were included in a specific PO, please?",PO
I'd like to know when the last PO for an ITEM or multiple items was created.,PO
I'd like to know how many quantities of an ITEM or multiple goods the vendor sold.,QUANTITY
I'm looking for the SO date for a specific PO.,SO
I'm looking for the vendor for a specific SO.,SO
I'd like to know how many ITEMS were included in a specific SO.,SO
I'd like to know how many ITEMS were included in a specific PO.,SO
"When was the most recent PO made for a single item or a group of goods, please?",PO
I want to know how many units of a certain ITEM or many goods the vendor sold.,QUANTITY
"For a specific PO, what is the SO date?",QUANTITY
"When it comes to a specific SO, who is the vendor?",SO
"Which ITEMS made up a certain SO, and how many of them?",SO
"How many ITEMS made up a specific PO, please?",PO
"Which ITEMS made up a certain PO, and how many of them?",PO
I need information about an ITEM.,INFORMATION
I need to know where the ITEM is located.,LOCATION
I need to know where the ITEM is stored.,LOCATION
I need to know how many units we have of an item.,LOCATION
I desire to know How much quantity of an item has been consumed?,QUANTITY
I want to know what quantity of an item was received.,QUANTITY
I want to get the last utilised date for an ITEM?,QUANTITY
I want to know the quantity received date of an ITEM.,QUANTITY
I need to know the cost of an item.,COST
I need to know how much of this ITEM is available from the vendor.,QUANTITY
How much inventory is available for this ITEM from this particular vendor?,QUANTITY
I desire to know How many Orders are sold for an ITEM?,ORDER
I want to know the date Orders were received for a single ITEM or numerous goods.,ORDER
I want to know the delivery date for a single or numerous goods on my order.,ORDER
I would like to know the pricing of the long-held items.,COST
I would like to know how much is stored at a given location.,QUANTITY
I need to know the maximum and minimum quantities of an item held at a specific place.,QUANTITY
I desire to know How many POs created for a given item or numerous items?,PO
When was the latest purchase order created for one item or many items?,PO
I need to know how many quantities of a SINGLE ITEM or several products the vendor sold.,QUANTITY
I would like to know the SO date for a specific PO.,SO
I need to identify the vendor for a specific SO.,SO
I need to know how many ITEMS comprised a specific SO.,SO
I need to know how many ITEMS were included in a specific PO.,PO
I require additional details about an ITEM.,INFORMATION
I require additional details about these ITEMS.,INFORMATION
"Where can I find the ITEM, please?",LOCATION
How do I find the position of the ITEM?,LOCATION
Where is the OBJECT situated?,LOCATION
I need to know the storage location of the item.,LOCATION
Please tell me where the ITEM is stored.,LOCATION
Please indicate where the item is stored in storage.,LOCATION
I'm curious about the quantity of each item currently in stock.,QUANTITY
How many of a specific product are currently in stock?,QUANTITY
How much of a specific item do we currently have available?,QUANTITY
I would want to know how many items are in stock.,QUANTITY
I want to know. What quantity of an ITEM did we utilise?,QUANTITY
I want to know. How much of a specific quantity was utilised for a product?,QUANTITY
How much of a certain ITEM have we consumed?,QUANTITY
How many units of a specific product were received?,QUANTITY
I would like to know how many of an item were received.,QUANTITY
How many units of a particular item were received?,QUANTITY
I would like to know the quantity of an item that was received.,QUANTITY
I need to know the item's most recent usage date.,DATE
How do I determine when an ITEM was last utilised?,DATE
I'm interested in a product's most recent usage date.,DATE
I need to know when an item's amount was received.,COST
"What is the price of the item, please?",COST
"How much does this item cost, kindly?",COST
What is the price of a THING?,COST
I would like to know the date of order receipt for a single or several items.,ORDER
I would like to know the delivery date for a SINGLE ITEM or many goods.,ORDER
When were orders for a specific item or amount of products received?,ORDER
When will one or more of the ordered products be delivered?,ORDER
"For a single item or a number of things, what date were orders received?",ORDER
When will the order's many products be delivered?,ORDER
What is the current quantity of this item available from the vendor?,QUANTITY
I am interested in learning the current stock availability of this item from the vendor.,QUANTITY
How many units of this item does the merchant or dealer offer?,QUANTITY
how many of this ITEM is stocked by the vendor?,QUANTITY
how many units are available for purchase from the vendor?,QUANTITY
How many units of this ITEM are available from this particular vendor or retailer?,QUANTITY
"How many units of this item does the specific vendor offer, please?",QUANTITY
I am interested in knowing how many of this item a particular dealer offers.,QUANTITY
I'm intrigued about the prices of the long-held things.,COST
How many MERCHANDISE are sold with each ORDER?,ORDER
I want to know. How many Orders are sold for each individual ITEM?,ORDER
How many Orders are placed for an ITEM?,ORDER
I want to know the pricing of the products that have been held for a while.,COST
I'm curious about the prices of the things that have been placed on hold for some time.,COST
How many objects are stored in storage at a certain location?,LOCATION
I need to know how many items are stored in a particular location.,LOCATION
How many units are stored in storage at a particular location?,LOCATION
how much quantity is held at a particular location.,LOCATION
how much quantity is held at a certain place.,LOCATION
I'd like to know the maximum and minimum stored amounts for an item at a given place/area.,QUANTITY
I need to know the maximum and minimum storage quantities for a given item.,QUANTITY
What is the maximum and minimum amount of a single item that can be stored at a particular location?,QUANTITY
I'm curious about the maximum and minimum storage numbers for a particular item.,QUANTITY
How many purchase orders were issued for a certain item or group of items?,PO
How many purchase orders were issued for a single or many items?,PO
How many POs were generated for a single or many items?,PO
When was the most recent purchase order created for an item or set of items?,PO
How many units of a certain item or how many distinct products did the vendor/seller sell?,QUANTITY
I am interested in the SO date for a particular PO.,SO
I'm curious about the seller of a certain SO.,SO
"How many ITEMS comprised a certain SO, please?",SO
How many ITEMS were included in a particular purchase order?,SO
When was the most recent PO for an ITEM or multiple items created?,PO
I'd like to know how many quantities of an ITEM or multiple products were sold by the vendor.,PO
I require the SO date for a particular PO.,SO
I'm looking for the supplier for a particular SO.,SO
I'd like to know the quantity of ITEMS included in a particular SO.,SO
I need to know how many ITEMS were included in a particular purchase order.,PO
When was the most recent purchase order issued for a single item or a group of items?,PO
I need to know how many units of a certain ITEM or how many products were sold by the merchant.,QUANTITY
"For a certain purchase order, what is the SO date?",SO
Who is the vendor in relation to a particular SO?,SO
Which ITEMS comprised a certain SO and how many?,SO
"How many ITEMS comprised a particular PO, please?",PO
Which ITEMS comprised a particular PO and in what quantity?,PO
I need more information about an ITEM?,INFORMATION
I'd like to find out more about these ITEMS.,INFORMATION
I want to know where the ITEM is.,LOCATION
I want to know where the ITEM is stored.,LOCATION
I want to know how many of a certain item we have.,LOCATION
I'd like to know. How many times have we used an ITEM?,LOCATION
I want to know how many of an ITEM were sent to me.,QUANTITY
I want to know when an ITEM was last used.,QUANTITY
I want to know when an ITEM was received and how many were sent.,QUANTITY
I want to know how much something costs.,COST
I want to know how many of this ITEM the vendor has in stock.,SO
I want to know how many of this ITEM the particular vendor has in stock.,QUANTITY
I'd like to know. How many Orders does an ITEM sell?,ORDER
I want to know the date orders were received for an ITEM or for more than one item.,ORDER
I want to know when my order will arrive. Is it for one item or several?,INFORMATION
I want to know how much the items I've been holding on to for a long time cost.,QUANTITY
I want to know how much is being stored in a certain place.,LOCATION
I want to know the maximum and minimum number of an item that can be stored in a certain place.,LOCATION
I'd like to know. How many POs were made for a single item or for a group of items?,PO
I want to know when the last purchase order (PO) was made for an ITEM or for more than one item.,PO
I want to know how many of an ITEM or how many different items the vendor sold.,QUANTITY
I want to know when a certain PO's SO date is.,SO
I need to know who the vendor is for a certain SO.,SO
I need to find out how many ITEMS were in a certain SO.,SO
I'd like to know how many ITEMS were in a certain PO.,PO
I need to know more about an ITEM.,INFORMATION
I want to know more about these ITEMS.,INFORMATION
Please tell me where the ITEM is.,INFORMATION
How do I find where the ITEM is?,INFORMATION
What is the ITEM's location?,LOCATION
I need to know where in storage the item is kept.,INFORMATION
I want to know how many of each item we have in stock.,INFORMATION
How many of a certain item do we have in stock right now?,LOCATION
"How much of a certain item do we have in stock right now, please?",LOCATION
I would want to know how many of an ITEM we have in stock.,INFORMATION
I'm interested. What quantity did we use for an ITEM?,INFORMATION
I'm interested. How much of a certain amount did we use for a certain thing?,INFORMATION
Please tell me how many of a certain thing were sent.,ORDER
"How many of a certain item did you get, please?",INFORMATION
I want to know how many of a certain ITEM were sent.,ORDER
How can I find out when the last time an ITEM was used was?,INFORMATION
I need to know how many of an item were received when.,INFORMATION
"How much does the item cost, please?",COST
How much does an ITEM cost?,COST
"I'd like to know when the order was received, whether it was for a single item or several.",ORDER
I'd want to know when an ITEM or several items on the order would arrive.,INFORMATION
When did orders come in for one or more of the items?,ORDER
What is the date that orders were received for one item or a number of items?,ORDER
How many of this item does the seller have right now?,QUANTITY
I'd like to know how many of this item the vendor has in stock right now.,QUANTITY
Please tell me how many of this item the seller has for sale.,QUANTITY
how many of this ITEM the vendor has in stock.,QUANTITY
how many of this ITEM are in stock at the vendor?,QUANTITY
how many units of this ITEM are available from the specific vendor or merchant?,QUANTITY
How many of this item does the particular seller have for sale?,QUANTITY
How many ITEMS are sold for each Order?,ORDER
I'm interested. How many Orders are sold for each ITEM?,ORDER
How many Orders are there for an ITEM?,ORDER
I want to know how much the items are that have been held for a while.,QUANTITY
I want to know how much the items are that have been put on hold for a while.,QUANTITY
Please tell me how many things are kept in storage at a certain place.,INFORMATION
I need to know how many things are kept in a certain place.,INFORMATION
Please tell me how much is kept in storage at a certain place.,INFORMATION
how much stuff is kept in a certain place.,INFORMATION
I'd like to know the most and least amount of an item that can be stored in a certain place or area.,LOCATION
I need to know the maximum and minimum amounts of a certain item that can be stored.,LOCATION
What is the most and least amount of a single item that can be stored in a certain place?,LOCATION
I want to know the maximum and minimum amounts of a certain item that can be stored.,LOCATION
How many POs were made for one item or a group of items?,PO
How many POs were made for one item or for more than one?,PO
How many POs were made for a single item or for more than one?,PO
When was the last purchase order made for a single item or a group of items?,PO
How many of a certain item or how many different items did the vendor or seller sell?,QUANTITY
Please tell me how many ITEMS were in a certain SO.,SO
Please tell me how many ITEMS were in a certain PO.,PO
I would like to know when the last PO was made for an ITEM or a group of items.,INFORMATION
I need to know the SO date for a particular PO.,SO
I need to find the vendor for a certain SO.,SO
I want to find out how many ITEMS were in a certain SO.,SO
I want to find out how many ITEMS were in a certain PO.,PO
I want to know how many of a certain ITEM or how many different things the seller sold.,QUANTITY
What is the SO date for a certain PO?,SO
Who is the vendor when it comes to a certain SO?,SO
Which and how many ITEMS made up a certain SO?,SO
Please tell me how many ITEMS made up a certain PO.,PO
How many and what ITEMS made up a certain PO?,PO
Please tell me more information about a certain ITEM.,INFORMATION
"The more information you can give me on these items, the better.",INFORMATION
Please tell me where this thing is.,INFORMATION
Can you tell me where the ITEM is kept?,INFORMATION
"Specifically, how many of a given ITEM do we currently have in stock?",INFORMATION
Please tell me How many times have we utilised this quantity of this ITEM?,INFORMATION
Where can I find out how many of a particular ITEM were shipped and delivered?,INFORMATION
When was this item last used?,INFORMATION
Do you have the date that the item was received and its amount received?,INFORMATION
I need to know the cost of something.,COST
How much of this ITEM does the supplier currently have in stock?,QUANTITY
Can you tell me how many of this item this vendor has in stock?,QUANTITY
"Specifically, I am curious about Item Sales - How many times has this item been ordered?",INFORMATION
"When were orders for this item, or these items, received?",ORDER
I need to know when an item or products in my order will be delivered.,INFORMATION
How much do the long-term storage items cost?,COST
I need to know how much stuff is stashed away somewhere.,SO
To what extent can I store more or less of a given item in a given area?,LOCATION
"Yes, please tell me How many Purchase Orders were made for a single item or a set of related items?",PO
When was the last time a purchase order (PO) was made for an item (or items)?,PO
I'm interested in learning how many of a given ITEM or set of items were sold by the supplier.,SO
"What is the SO date for this PO, please?",SO
Who is the provider for this specific SO?,SO
My goal is to learn the total number of ITEMS that made up a certain SO.,SO
How many ITEMS were included in a given PO?,PO
What I need is further details about an ITEM.,INFORMATION
These ITEMS require additional information which I am currently lacking.,INFORMATION
Please tell me the precise location of the REQUESTED ITEM.,LOCATION
Where exactly can I discover the REQUESTED ITEM?,INFORMATION
Where is this thing that I need?,INFORMATION
"Where is this thing being stored, since I need to get my hands on it.",LOCATION
Please tell me where I may find the thing being stored.,LOCATION
Please tell me how many of each item we have in stock.,INFORMATION
What is the quantity of this item in stock right now?,INFORMATION
"Can you tell me how many of this item we have in stock, thanks?",INFORMATION
The quantity of a given item is of interest to me.,INFORMATION
"My curiosity has peaked. For a certain ITEM, how many did we order?",ORDER
"Sure, tell me about it. If a certain amount was used, how much of it did we actually use?",INFORMATION
"When it comes to a certain ITEM, how much of it have we actually consumed?",INFORMATION
"In what quantity, exactly, did a certain product arrive?",INFORMATION
I am curious as to the total quantity of a product that was shipped and received.,INFORMATION
Please tell me how many of a specific item I ordered I got.,ORDER
A quantity received tally would be very appreciated.,INFORMATION
Please tell me the last time something was used.,SO
When was the last time an ITEM was used?,INFORMATION
I'm interested in learning when something was last used.,SO
Please tell me when a certain item's received amount was last.,INFORMATION
"To what extent does this thing cost, if you please?",COST
"Exactly how much does this cost, if you don't mind me asking?",COST
How much does THIS ITEM cost?,COST
"Please tell me when you received my order, whether it was for one item or many.",ORDER
"If I were to place an order, one of my main concerns would be when I could expect to get a specific item or products.",INFORMATION
"If orders for a product or products were received at a specific time, what time period was that?",ORDER
In what time frame can I expect to receive a single item or a set of goods from my order?,INFORMATION
When were the orders placed for this item or these items?,INFORMATION
When can I expect delivery of all of the order's components?,INFORMATION
How many of these items does the supplier currently have in stock?,ORDER
Tell me if the vendor still has any of this in stock.,QUANTITY
Please tell me the quantity options for this product are from the seller.,QUANTITY
number of this item that can be purchased from the supplier.,QUANTITY
The quantity of this ITEM that is currently in stock at the supplier.,QUANTITY
The quantity of this ITEM that is currently in stock at the given retailer's location is (how many).,QUANTITY
To what extent does this vendor's stock include this item?,QUANTITY
What is the quantity that this dealer has available of this item?,QUANTITY
I'm interested in knowing how much longer-held things cost.,COST
How many ARTIFACTS are sold for each ORDER?,ORDER
Please tell me. How many Orders have been placed for each TYPE of GOOD?,ORDER
Find out how many orders were placed for a particular item.,ORDER
I'm interested in finding out how much things that have been sitting around for a while cost.,COST
Please tell me the cost of the things that have been put on hold for a while.,COST
Inquiring minds want to know: how much stuff is stored where?,QUANTITY
There must be a way to find out how many things are stored in a certain area.,QUANTITY
"If you could tell me how much is stored at a given facility, that would be great.",QUANTITY
the total amount of stuff stashed away in a certain area.,INFORMATION
how many units can be stored in a given region.,QUANTITY
I'm curious as to the most and lowest possible amounts of a given item that can be kept at a given location.,QUANTITY
"Please tell me how much of a certain thing can be stored, and how little.",QUANTITY
"When it comes to a single item, what are the maximum and lowest quantities that can be kept there?",INFORMATION
I'm curious as to the most and lowest allowable quantity of a given item.,INFORMATION
For what quantity(ies) of an item(s) did purchase orders get made?,PO
"Can you tell me how many purchase orders were placed for a single item, or a set of related items?",PO
"If numerous orders were placed, how many were for each item?",ORDER
When was the last time a purchase order was made for a specific item or set of items?,PO
Approximately how many of each product did the vendor or merchant move?,QUANTITY
I was wondering when the SO was reached for a given PO.,SO
I'm interested in learning the identity of the SO seller in question.,SO
"When referring to a certain SO, how many ITEMS were included?",SO
"If you could tell me the total number of ITEMS that made up a given PO, that would be great.",PO
I need to know the most recent date a purchase order was made for an item or group of items.,ORDER
I'm curious in the total quantity of a SINGLE ITEM or a set of items that the vendor moved.,QUANTITY
Help me find the SO date for this purchase order.,SO
I need to locate a provider for a certain SO.,SO
"For a given SO, I'm curious as to the total number of ITEMS it contains.",SO
I need to know the total quantity of ITEMS in a given PO.,PO
When was the last time a purchase order was placed for a specific item or set of goods?,PO
I'm interested in learning how many of a specific ITEM the vendor moved.,QUANTITY
Please tell me the SO date for this particular PO.,SO
"For a given SO, who is the provider?",SO
How many individual ITEMS made up a certain SO?,SO
May I ask how many ITEMS make up a given PO?,PO
Which and how many ITEMS made up a given PO?,PO
I need more information about a certain ITEM.,INFORMATION
I am interested in further specifics regarding these ITEMS.,INFORMATION
I would like to know where the ITEM is located.,INFORMATION
I am interested in learning where the ITEM is kept for storage.,INFORMATION
I need to know how much of a particular item we currently have in stock.,INFORMATION
I am curious about it. How much of a given quantity have we already utilised for an ITEM?,INFORMATION
I am interested in finding out how many of a particular ITEM were received.,INFORMATION
I would like to know the date of the item's most recent use.,INFORMATION
I would like to know the date and amount that an item was received on.,INFORMATION
I would want to inquire about the cost of an ITEM.,COST
I am interested in learning the total quantity of this ITEM that is currently available from the vendor.,QUANTITY
I am interested in learning the total number that can be purchased from this particular vendor for this ITEM.,QUANTITY
I am curious about it. How many individual Orders have been placed for a single ITEM?,ORDER
I need to know the date that orders were received for a single item or for numerous goods.,ORDER
I would want to know the estimated delivery date for the item or items that have been ordered.,ORDER
I would like to know how much the items that have been stored for a long period cost.,QUANTITY
I am interested in finding out the total quantity that is kept at a specific place.,INFORMATION
I would like to know the maximum and minimum quantities that can be stored of a particular item at a specific place.,QUANTITY
I am curious about it. How many purchase orders were generated for a specific item or for many items?,PO
I need to know when the most recent purchase order (PO) was made for a single item or for numerous goods.,PO
I am interested in learning the total number of quantities of a SINGLE ITEM as well as the total number of things that were sold by the vendor.,QUANTITY
I would like to know what the SO date is for a specific PO.,SO
I need to know which company is the supplier for a specific SO.,SO
I am interested in finding out how many ITEMS were included in a specific SO.,SO
I am interested in finding out how many ITEMS were included in a specific PO.,PO
I require additional information regarding a certain ITEM.,INFORMATION
I require additional details regarding these ITEMS.,INFORMATION
Please direct me to the location of the ITEM.,LOCATION
Where exactly is the ITEM that I'm looking for?,INFORMATION
Where exactly is the item that I am looking for?,INFORMATION
I need to be informed of the location of the item within the storage facility.,LOCATION
I would appreciate it if you could tell me where the ITEM is stored.,LOCATION
Could you please provide me with the location of the item's storage?,LOCATION
It would interest me to learn how many of each item we currently have in stock.,INFORMATION
How many of a particular item do we have available for purchase at this time?,QUANTITY
"Please let me know how much of a specific item we have in stock at the moment, thanks.",INFORMATION
I'm interested in finding out how many of each ITEM we currently have in stock.,INFORMATION
"I am curious about this. In regard to an ITEM, what quantity did we use?",INFORMATION
"I am curious about this. When it comes to a certain thing, how much of a specific quantity did we use?",INFORMATION
How much of a certain ITEM have we already used up?,INFORMATION
Please let me know how many of a specific item we have gotten in total.,INFORMATION
I am curious to learn the total quantity of a particular item that was shipped out.,INFORMATION
Could you kindly tell me how many of a particular item we were sent?,INFORMATION
I am interested in finding out how many of a particular ITEM were obtained.,INFORMATION
How can I determine when an ITEM was most recently utilised?,INFORMATION
I am interested in knowing the date of the item's most recent use.,INFORMATION
I need to know when the quantity of an item that was received was.,INFORMATION
Could you please tell me how much this item costs?,COST
What does the price of an ITEM look like?,COST
Please inform me of the date when the order was received for either a single item or numerous goods.,ORDER
"If I were to place an order, one of the first things I would want to know is when my item or goods will be delivered.",INFORMATION
When did orders start coming in for a specific item or a given quantity of items?,INFORMATION
When will one or more of the goods in the order that have been ordered be delivered?,INFORMATION
"When it comes to just one item or a whole bunch of them, what is the latest date that orders were taken?",ORDER
"When will the order be delivered in its entirety, including all of the things that were purchased?",PO
What is the current amount of this item that the merchant has available for purchase?,QUANTITY
It would be helpful if you could inform me about the current stock availability of this item from the vendor.,QUANTITY
Please let me know the total quantity of this product that the retailer or seller has available.,QUANTITY
what is the total quantity of this ITEM that is available from the vendor?,QUANTITY
how many individual examples of this ITEM are held in stock by the vendor?,QUANTITY
how many individual units of this ITEM are now in stock at the particular seller or merchant?,QUANTITY
Could you kindly tell me how many of these items the particular vendor has available for purchase?,QUANTITY
It would be helpful if you could tell me how many of this item the particular dealer has available for purchase.,QUANTITY
The prices of the products that have been held for a while are something that piques my interest.,COST
How many INDIVIDUAL ITEMS are being sold for each ORDER?,ORDER
I am curious about this. How many ORDERS are there for each ITEM that is being sold?,ORDER
How many individual orders are there for a SINGLE ITEM?,ORDER
I am interested in learning the pricing of the products that have been held for a considerable amount of time.,COST
I am interested in learning how much the things that have been put on hold for a time will cost.,COST
Could you please tell me how many objects are held in storage at a certain location?,QUANTITY
I need to find out how many different things are stored in a particular area.,QUANTITY
Could you kindly tell me how much of a quantity is held in storage at a certain location?,QUANTITY
how much of a quantity may be found at a particular location.,QUANTITY
how much of a quantity can be found at a particular location.,QUANTITY
It would be helpful if you could tell me the maximum and lowest amounts of an item that can be stored in a particular location.,QUANTITY
I need to know the highest possible storage quantity as well as the lowest possible storage quantity for a certain item.,PO
Where can I find the maximum and lowest amounts of a particular item that can be kept in storage at a particular location?,QUANTITY
It would be helpful for me to know the maximum and lowest storage quantities that can be used for a certain item.,INFORMATION
How many purchase orders (POs) were made for a certain item or a lot of items?,PO
How many purchase orders were made for a single item as opposed to multiple items?,ORDER
How many purchase orders were made for a single item as opposed to many items?,ORDER
"When was the most recent purchase order issued for a certain item or collection of items, please?",PO
How many individual examples of a certain product or how many distinct types of items did the vendor or merchant move?,QUANTITY
I am interested in learning when the SO date will be for a particular PO.,SO
I am interested in learning the identity of the vendor for a particular SO.,SO
Could you kindly tell me how many ITEMS were included in a certain SO?,SO
Could you kindly tell me how many ITEMS were included in a particular PO?,PO
When was the most recent purchase order (PO) for an item or multiple goods created? Please let me know.,PO
I am interested in finding out how many quantities of a SINGLE ITEM or a number of different items were sold by the vendor.,QUANTITY
I need to find out when the SO date is for a particular PO.,SO
I am looking for the vendor who is associated with a particular SO.,SO
I am interested in learning the total number of ITEMS that were contained within a particular SO.,SO
I am interested in learning the total number of ITEMS that were included in a particular PO.,PO
"When was the most recent purchase order placed for a single item or a collection of things, if you could, please?",PO
I need to know how many individual items or how many different types of commodities were sold by the merchant.,QUANTITY
What is the SO date for a particular purchase order?,SO
Who exactly is the vendor with regard to the aforementioned SO?,SO
"Which ITEMS were included in a certain SO, and how many of each did it contain?",SO
Please let me know how many ITEMS were included in a certain PO.,PO
"Which ITEMS were included in a certain PO, and how many of each did it contain?",PO
I need item info.,INFORMATION
I need info on these ITEMS.,INFORMATION
Where is it?,INFORMATION
Where is the ITEM stored?,LOCATION
How many items do we have?,INFORMATION
Why? What's the item's quantity?,INFORMATION
I need an item's amount.,INFORMATION
I need a last-used date.,INFORMATION
I need an item's received quantity date.,INFORMATION
I need an item's price.,COST
How much of this item does the vendor have?,QUANTITY
Why? How many Items are sold?,ORDER
I need the date an item or numerous products were ordered.,ORDER
I need an item's or numerous goods' delivery date.,INFORMATION
How much are the long-held items?,INFORMATION
How much is stored at a location?,LOCATION
I want to know an item's maximum and minimum stored quantities.,QUANTITY
Why? How many POs for one or more items?,PO
When was the last item or multi-item PO created?,PO
I want to know how many products the dealer sold.,ORDER
I need a PO's SO date.,SO
I need a SO's vendor.,SO
How many ITEMS were in a SO?,SO
I need a PO's item count.,PO
These ITEMS require more detail.,INFORMATION
Where is ITEM?,INFORMATION
Where's the object stored?,LOCATION
Where's the ITEM?,INFORMATION
I'm curious about item quantities.,INFORMATION
What's in stock?,INFORMATION
I want to know how many items we have.,INFORMATION
Why? What's an item's quantity?,INFORMATION
Why? What was the item's quantity?,INFORMATION
How much has been used?,INFORMATION
How many items were received?,INFORMATION
How many of an item were received?,INFORMATION
When was an item last used?,INFORMATION
I need a recent use date.,INFORMATION
When was a product's received quantity?,INFORMATION
"Price, please.",COST
What's the price?,COST
What's an item's price?,COST
I need the order received date for one or more goods.,ORDER
I need the delivery date for one item or numerous goods.,INFORMATION
When were orders for an item or goods received?,ORDER
When will the order be delivered?,INFORMATION
When were orders received for one or more items?,ORDER
When will numerous goods arrive?,INFORMATION
What's the vendor's current stock?,QUANTITY
I want to know the vendor's stock status.,QUANTITY
How many units does the seller offer?,QUANTITY
how many of this ITEM is available?,QUANTITY
how many units does the vendor have?,QUANTITY
how many of this ITEM is the vendor/merchant selling?,QUANTITY
"How many units of this item are provided by the specified vendor, please?",QUANTITY
How many of this item does the dealer sell?,QUANTITY
I'm curious about the price of the products that have been held for a while.,COST
How many ITEMS per Order?,ORDER
"Why? For each ITEM, how many Orders are sold?",ORDER
The pricing of the products that have been held for a while is what I want to know.,COST
I'm curious about the price of the things that have been on hold for a while.,COST
"How much goods is maintained in storage at a given place, please?",INFORMATION
I want to know how many thing is maintained in a given location.,QUANTITY
"How much quantity is stored in storage at a given place, please?",QUANTITY
how much quantity is held at a certain area.,INFORMATION
What is the maximum and minimum amount that can be kept of a single item in a certain location?,QUANTITY
I'm interested in discovering the maximum and minimum storage numbers for a specific item.,INFORMATION
